,index,label
1755,B25038_011E,Estimate!!Total:!!Renter occupied:!!Moved in 2015 to 2018
1762,B25038_010E,Estimate!!Total:!!Renter occupied:!!Moved in 2019 or later
1773,B25038_015E,Estimate!!Total:!!Renter occupied:!!Moved in 1989 or earlier
1777,B25038_014E,Estimate!!Total:!!Renter occupied:!!Moved in 1990 to 1999
1781,B25038_013E,Estimate!!Total:!!Renter occupied:!!Moved in 2000 to 2009
1786,B25038_012E,Estimate!!Total:!!Renter occupied:!!Moved in 2010 to 2014
1865,B25038_003E,Estimate!!Total:!!Owner occupied:!!Moved in 2019 or later
1870,B25038_002E,Estimate!!Total:!!Owner occupied:
1874,B25038_001E,Estimate!!Total:
1879,B25038_008E,Estimate!!Total:!!Owner occupied:!!Moved in 1989 or earlier
1883,B25038_007E,Estimate!!Total:!!Owner occupied:!!Moved in 1990 to 1999
1887,B25038_006E,Estimate!!Total:!!Owner occupied:!!Moved in 2000 to 2009
1889,B25038_005E,Estimate!!Total:!!Owner occupied:!!Moved in 2010 to 2014
1890,B25038_004E,Estimate!!Total:!!Owner occupied:!!Moved in 2015 to 2018
1902,B25038_009E,Estimate!!Total:!!Renter occupied:
